"","Datum","Daily-Nr.","Probenummer","Objektbezeichnung","Fundlage","Lage","Taxon","Resttyp","Erhaltungstyp","Season"
"1","07.04.2022","07.04.2022-040","TG22.MS3_CS_036","Botanik","Versturz/""Mülldeponie"", Sieb","MS3","Acacia nilotica","Fr","st","2022"
"2","07.04.2022","07.04.2022-040","TG22.MS3_CS_036","Botanik","Versturz/""Mülldeponie"", Sieb","MS3","Acacia nilotica","Fr","st","2022"
"3","09.04.2022","09.04.2022-013","TG22.MS3_CS_038","Botanik","Tonnengewölbe, Siebfunde","MS3","Acacia nilotica","Fr","st","2022"
"4","11.04.2022","11.04.2022-024","TG22.MS3_CS_055","Botanik","Hof MS2, Dach, Lage 5","MS2","Acacia nilotica","Fr","st","2022"
"5","11.04.2022","11.04.2022-024","TG22.MS3_CS_055","Botanik","Hof MS2, Dach, Lage 5","MS2","Acacia nilotica","Fr","st","2022"
"6","11.04.2022","11.04.2022-029","TG22.MS3_CS_056","Botanik","Hof MS2, Dach, Lage 5","MS2","Acacia nilotica","Fr","st","2022"
"7","18.04.2022","18.04.2022-037","TG22.MS3_CS_090","Botanik","Südl. v. ToGe, Westen","MS3","Acacia nilotica","Fr","st","2022"
"8","18.04.2022","18.04.2022-037","TG22.MS3_CS_090","Botanik","Südl. v. ToGe, Westen","MS3","Acacia nilotica","Fr","st","2022"
"9","23.04.2022","23.04.2022-012","TG22.MS3_CS_125","Botanik","MS4, Osthälfte, NW, Fundament MS1","MS4","Acacia nilotica","Fr","st","2022"
"10","24.04.2022","24.04.2022-016","TG22.MS3_CS_128","Botanik","MS4, Gebel-Bodenniveau (beim Putzen)","MS4","Acacia nilotica","Fr","st","2022"
"11","24.04.2022","24.04.2022-016","TG22.MS3_CS_128","Botanik","MS4, Gebel-Bodenniveau (beim Putzen)","MS4","Acacia nilotica","Fr","st","2022"
"12","24.04.2022","24.04.2022-016","TG22.MS3_CS_128","Botanik","MS4, Gebel-Bodenniveau (beim Putzen)","MS4","Acacia nilotica","Fr","st","2022"
"13","24.04.2022","24.04.2022-035","TG22.MS3_CS_131","Botanik","MS4, Ost-Ecke","MS4","Acacia nilotica","Fr","st","2022"
"14","03.04.2022","03.04.2022-013","TG22.MS3_CS_012","Botanik","Südl. v. ToGe, 2. Lage, NO-Ecke, ""Abfallhaufen""","MS3","Allium cf. cepa","Wu","st","2022"
"15","03.04.2022","03.04.2022-013","TG22.MS3_CS_012","Botanik","Südl. v. ToGe, 2. Lage, NO-Ecke, ""Abfallhaufen""","MS3","Allium cf. cepa","Wu","st","2022"
"16","03.04.2022","03.04.2022-013","TG22.MS3_CS_012","Botanik","Südl. v. ToGe, 2. Lage, NO-Ecke, ""Abfallhaufen""","MS3","Allium cf. cepa","Wu","st","2022"
"17","03.04.2022","03.04.2022-013","TG22.MS3_CS_012","Botanik","Südl. v. ToGe, 2. Lage, NO-Ecke, ""Abfallhaufen""","MS3","Allium cf. cepa","Wu","st","2022"
"18","04.04.2022","04.04.2022-028","TG22.MS3_CS_018","Botanik","Südl. v. ToGe, 2. Lage, NW-Ecke","MS3","Allium cf. cepa","Wu","st","2022"
"19","18.04.2022","18.04.2022-041","TG22.MS3_CS_092","Botanik","Südl. v. ToGe, Osten","MS3","Allium cf. cepa","Wu","st","2022"
"20","02.04.2022","02.04.2022-004","TG22.MS3_CS_007","Botanik (Sammeltüte)","Südl. v. Tonnen-gewölbe, 1. Lage, NO-Ecke, ""Abfallhaufen""","MS3","Allium sativum","Bl","st","2022"
"21","03.04.2022","03.04.2022-013","TG22.MS3_CS_012","Botanik","Südl. v. ToGe, 2. Lage, NO-Ecke, ""Abfallhaufen""","MS3","Allium sativum","Bl","st","2022"
"22","04.04.2022","04.04.2022-028","TG22.MS3_CS_018","Botanik","Südl. v. ToGe, 2. Lage, NW-Ecke","MS3","Allium sativum","Bl","st","2022"
"23","05.04.2022","05.04.2022-018","TG22.MS3_CS_021","Botanik","Südl. v. ToGe, 2. Lage, NO-Ecke, ""Abfallhaufen""","MS3","Allium sativum","Bl","st","2022"
"24","10.04.2022","10.04.2022-003","TG22.MS3_CS_042","Botanik","Tonnengewölbe, Siebfunde","MS3","Allium sativum","Bl","st","2022"
