"","Datum","Daily.Nr.","Probenummer","Objektbezeichnung","Fundlage","Lage","Taxon","Name","Resttyp","Erhaltungstyp","Season","Himmelsrichtung","Art"
"1","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2021","Sueden","wildwachsende Pflanzen"
"2","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2021","Sueden","wildwachsende Pflanzen"
"3","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2021","Sueden","wildwachsende Pflanzen"
"4","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2021","Sueden","wildwachsende Pflanzen"
"5","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2021","Sueden","wildwachsende Pflanzen"
"6","01.12.2021","01.12.2021-001","TG21.MS2_CS_001","Botanik (Sammeltüte)","MS2, S-Ende, Aushub 1","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2021","Sueden","wildwachsende Pflanzen"
"7","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2021","Osten","wildwachsende Pflanzen"
"8","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2021","Osten","wildwachsende Pflanzen"
"9","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2021","Osten","wildwachsende Pflanzen"
"10","07.12.2021","07.12.2021-039","TG21.MS2_CS_019","Botanik (Sammeltüte)","MS2, Ostwand aussen","MS2","Acacia nilotica","Nilakazie","Frucht","vertrocknet","2021","Osten","wildwachsende Pflanzen"
